
clinicName,year,month,weekNumber,weekLabel,blogsPublished,avgRanking,totalTraffic,callsRequested,websiteVisits,directionClicks,metaImpressions,metaClicks,metaCTR,metaCPC,metaConversions,metaCostPerConversion,metaAdSpend,googleImpressions,googleClicks,googleCTR,googleCPC,googleConversions,googleCVR,googleCostPerConversion,googleTotalCost,socialPosts,socialViews,patientCount,digitalConversion,conversionRate,dailyPatientAvg
ER of Irving,2026,1,1,,0,0.0,0,0,0,0,61665,397,,,10,,272.88,8260,317,,,50,,,692.98,2,57400,57,0,,
ER of Irving,2026,1,2,,4,0.0,0,0,0,0,17260,138,,,8,,237.86,8392,318,,,48,,,812.55,3,44700,57,16,,
ER of Irving,2026,1,3,,5,0.0,0,0,0,0,26695,234,,,8,,204.29,9390,324,,,57,,,853.04,3,4500,50,12,,
ER of Irving,2026,1,4,,4,0.0,0,0,0,0,28946,217,,,3,,208.12,8262,300,,,50,,,872.25,2,1200,56,12,,
ER of Irving,2026,2,5,,5,0.0,0,0,0,0,25561,163,,,1,,180.85,8444,321,,,45,,,833.81,3,474,48,17,,
ER of Irving,2026,2,6,,5,0.0,0,0,0,0,8354,64,,,1,,71.54,7190,347,,,56,,,914.12,5,359,45,11,,
ER of Irving,2026,2,7,,5,0.0,0,0,0,0,8921,63,,,1,,69.57,9221,373,,,59,,,947.47,3,328,46,13,,
ER of Irving,2026,2,8,,0,0.0,0,0,0,0,9431,74,,,2,,70.0,8604,345,,,57,,,915.05,6,786,56,21,,
ER of Irving,2026,3,9,,0,0.0,0,0,0,0,8634,94,,,1,,70.48,8501,374,,,60,,,825.84,5,777,68,29,,
ER of Lufkin,2025,11,44,,6,5.0,15,16,16,26,62029,19,,,83,,231.66,3147,163,,,14,,,746.59,3,62100,53,0,,
ER of Lufkin,2025,11,45,,5,5.0,34,13,17,28,64517,31,,,234,,279.03,2810,192,,,18,,,757.08,3,64000,50,0,,
ER of Lufkin,2025,11,46,,8,5.0,16,18,24,25,60816,26,,,177,,279.41,2481,191,,,23,,,692.34,2,53400,53,0,,
ER of Lufkin,2025,11,47,,7,5.0,23,20,19,20,39898,34,,,105,,212.92,2381,210,,,29,,,665.11,2,32900,70,0,,
ER of Lufkin,2025,12,48,,5,5.0,21,11,27,13,56183,35,,,166,,278.68,2426,203,,,19,,,721.09,6,46100,46,0,,
ER of Lufkin,2025,12,49,,5,5.0,29,8,15,16,43581,120,,,170,,338.1,2465,198,,,20,,,704.18,4,40600,52,0,,
ER of Lufkin,2025,12,50,,5,5.0,22,13,24,25,0,0,,,0,,0.0,2776,225,,,26,,,686.8,7,12400,69,0,,
ER of Lufkin,2025,12,51,,5,5.0,24,18,28,19,0,0,,,0,,0.0,2500,223,,,33,,,637.15,4,12700,96,0,,
ER of Lufkin,2025,12,52,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER of Lufkin,2026,1,1,,4,0.0,0,0,0,0,0,0,,,0,,0.0,2856,226,,,25,,,648.2,2,18900,76,0,,
ER of Lufkin,2026,1,2,,5,0.0,0,0,0,0,0,0,,,0,,0.0,2591,186,,,28,,,772.44,3,21000,48,0,,
ER of Lufkin,2026,1,3,,5,0.0,0,0,0,0,0,0,,,0,,0.0,3230,240,,,32,,,879.8,4,8300,43,0,,
ER of Lufkin,2026,1,4,,5,0.0,0,0,0,0,4099,210,,,105,,9.94,3875,258,,,26,,,874.73,2,29000,46,13,,
ER of Lufkin,2026,2,5,,5,0.0,0,0,0,0,26091,1290,,,30,,69.33,4623,360,,,49,,,858.18,2,18900,54,4,,
ER of Lufkin,2026,2,6,,5,0.0,0,0,0,0,23709,1390,,,35,,69.36,3842,422,,,29,,,914.55,3,19800,49,15,,
ER of Lufkin,2026,2,7,,5,0.0,0,0,0,0,21828,1200,,,32,,70.17,3908,307,,,41,,,930.44,3,16300,51,11,,
ER of Lufkin,2026,2,8,,0,0.0,0,0,0,0,21507,1330,,,36,,68.92,3379,281,,,33,,,819.63,2,14500,64,9,,
ER of Lufkin,2026,3,9,,0,0.0,0,0,0,0,21631,1260,,,42,,70.34,3747,291,,,36,,,927.35,3,15100,61,8,,
Irving Med Spa,2025,11,44,,6,0.0,0,0,11,2,8845,227,,,4,,178.9,0,0,,,0,,,0.0,1,7800,0,0,,
Irving Med Spa,2025,11,45,,6,0.0,0,2,7,9,13497,311,,,16,,398.55,0,0,,,0,,,0.0,0,11300,0,0,,
Irving Med Spa,2025,11,46,,6,0.0,0,3,7,5,17120,242,,,22,,453.74,0,0,,,0,,,0.0,1,14600,0,0,,
Irving Med Spa,2025,11,47,,6,0.0,0,0,7,8,16112,192,,,15,,453.81,2917,218,,,21,,,79.71,1,14300,0,0,,
Irving Med Spa,2025,12,48,,6,0.0,0,0,8,3,18502,218,,,12,,447.21,3457,110,,,10,,,197.33,0,0,1,0,,
Irving Med Spa,2025,12,49,,6,0.0,0,1,9,5,19964,183,,,17,,510.59,4667,175,,,11,,,260.99,2,19800,0,0,,
Irving Med Spa,2025,12,50,,5,0.0,0,2,6,4,26080,238,,,31,,538.43,5768,194,,,4,,,295.11,4,20500,6,0,,
Irving Med Spa,2025,12,51,,5,0.0,0,3,5,3,57646,414,,,30,,704.55,5436,162,,,6,,,278.33,4,55400,13,0,,
Irving Med Spa,2025,12,52,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
Irving Med Spa,2026,1,1,,4,0.0,0,0,0,0,72183,452,,,33,,711.88,4314,207,,,5,,,275.56,2,66100,0,0,,
Irving Med Spa,2026,1,2,,5,0.0,0,0,0,0,90059,553,,,58,,755.68,5120,225,,,47,,,381.04,3,80900,9,0,,
Irving Med Spa,2026,1,3,,5,0.0,0,0,0,0,104802,688,,,73,,737.66,5178,316,,,150,,,473.69,3,101600,0,0,,
Irving Med Spa,2026,1,4,,5,0.0,0,0,0,0,104880,672,,,72,,829.35,5560,267,,,64,,,467.24,3,102500,6,0,,
Irving Med Spa,2026,2,5,,5,0.0,0,0,0,0,81814,601,,,84,,806.72,4624,278,,,92,,,448.33,3,100500,3,0,,
Irving Med Spa,2026,2,6,,5,0.0,0,0,0,0,58878,542,,,64,,1000.56,5237,360,,,91,,,500.69,3,74200,9,0,,
Irving Med Spa,2026,2,7,,5,0.0,0,0,0,0,34355,360,,,55,,935.18,5820,422,,,115,,,753.19,6,31300,7,0,,
Irving Med Spa,2026,2,8,,0,0.0,0,0,0,0,29779,348,,,55,,944.72,6062,391,,,101,,,733.97,3,28100,16,0,,
Irving Med Spa,2026,3,9,,0,0.0,0,0,0,0,30735,406,,,69,,929.85,5224,345,,,140,,,681.3,3,25400,7,0,,
Naperville Med Spa,2025,11,44,,5,0.0,0,26,49,2,26864,218,,,32,,699.39,13156,406,,,60,,,781.99,1,0,0,0,,
Naperville Med Spa,2025,11,45,,5,0.0,0,16,52,25,22678,178,,,14,,616.84,10971,396,,,61,,,842.92,1,0,0,0,,
Naperville Med Spa,2025,11,46,,5,0.0,0,13,26,14,23411,231,,,35,,606.08,7961,306,,,51,,,624.42,1,0,0,0,,
Naperville Med Spa,2025,11,47,,4,0.0,0,17,43,16,27939,219,,,43,,703.19,5515,274,,,29,,,613.91,0,0,0,0,,
Naperville Med Spa,2025,12,48,,6,0.0,0,13,25,11,32500,257,,,39,,689.63,7042,313,,,33,,,551.16,2,0,0,0,,
Naperville Med Spa,2025,12,49,,6,0.0,0,14,18,7,31471,278,,,44,,709.88,8355,370,,,52,,,910.34,4,24500,0,0,,
Naperville Med Spa,2025,12,50,,5,0.0,0,12,22,8,30331,242,,,30,,689.76,9146,312,,,41,,,677.79,5,23100,0,0,,
Naperville Med Spa,2025,12,51,,5,0.0,0,16,17,12,33007,296,,,46,,704.25,9382,311,,,44,,,618.35,4,146500,0,0,,
Naperville Med Spa,2025,12,52,,0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
Naperville Med Spa,2026,1,1,,4,0.0,0,0,0,0,50775,333,,,40,,692.0,10807,364,,,45,,,785.97,2,38300,0,0,,
Naperville Med Spa,2026,1,2,,5,0.0,0,0,0,0,38303,264,,,34,,715.15,12163,386,,,46,,,809.52,3,32700,44,0,,
Naperville Med Spa,2026,1,3,,5,0.0,0,0,0,0,37356,275,,,31,,691.67,10466,342,,,49,,,683.11,3,26500,41,0,,
Naperville Med Spa,2026,1,4,,5,0.0,0,0,0,0,50864,361,,,30,,704.18,6226,260,,,20,,,377.35,1,40100,23,0,,
Naperville Med Spa,2026,2,5,,5,0.0,0,0,0,0,36316,314,,,44,,699.05,5027,448,,,18,,,252.16,4,33500,40,0,,
Naperville Med Spa,2026,2,6,,5,0.0,0,0,0,0,33342,318,,,42,,691.38,5137,209,,,29,,,470.47,2,25500,47,0,,
Naperville Med Spa,2026,2,7,,5,0.0,0,0,0,0,33895,303,,,32,,693.3,7673,302,,,36,,,893.57,3,25100,53,0,,
Naperville Med Spa,2026,2,8,,0,0.0,0,0,0,0,31259,252,,,28,,693.03,8239,321,,,33,,,909.68,4,22800,53,0,,
Naperville Med Spa,2026,3,9,,0,0.0,0,0,0,0,30775,249,,,33,,697.11,5815,231,,,25,,,733.66,4,21200,50,0,,
