
clinicName,year,month,weekNumber,weekLabel,blogsPublished,avgRanking,totalTraffic,callsRequested,websiteVisits,directionClicks,metaImpressions,metaClicks,metaCTR,metaCPC,metaConversions,metaCostPerConversion,metaAdSpend,googleImpressions,googleClicks,googleCTR,googleCPC,googleConversions,googleCVR,googleCostPerConversion,googleTotalCost,socialPosts,socialViews,patientCount,digitalConversion,conversionRate,dailyPatientAvg
ER of Lufkin,2025,12,49,2025 Week 49 (Dec 8–Dec 14),5,5.0,29,8,15,16,43581,120,,,170,,338.1,2465,198,,,20,,,704.18,4,40600,52,0,,
ER of Lufkin,2025,12,50,2025 Week 50 (Dec 15–Dec 21),5,5.0,22,13,24,25,0,0,,,0,,0.0,2776,225,,,26,,,686.8,7,12400,69,0,,
ER of Lufkin,2025,12,51,2025 Week 51 (Dec 22–Dec 28),5,5.0,24,18,28,19,0,0,,,0,,0.0,2500,223,,,33,,,637.15,4,12700,96,0,,
ER of Lufkin,2025,12,52,2025 Week 52 (Dec 29–Jan 4),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
ER of Lufkin,2026,1,1,2026 Week 1 (Jan 5–Jan 11),4,4.0,103,29,30,50,0,0,,,0,,0.0,2856,226,,,25,,,648.2,2,18900,76,0,,
ER of Lufkin,2026,1,2,2026 Week 2 (Jan 12–Jan 18),5,4.0,246,11,16,16,0,0,,,0,,0.0,2591,186,,,28,,,772.44,3,21000,48,0,,
ER of Lufkin,2026,1,3,2026 Week 3 (Jan 19–Jan 25),5,4.0,137,13,17,27,0,0,,,0,,0.0,3230,240,,,32,,,879.8,4,8300,43,0,,
ER of Lufkin,2026,1,4,2026 Week 4 (Jan 26–Feb 1),5,4.0,211,28,19,55,4099,210,,,105,,9.94,3875,258,,,26,,,874.73,2,29000,46,13,,
ER of Lufkin,2026,2,5,2026 Week 5 (Feb 2–Feb 8),5,5.0,332,14,21,41,26091,1290,,,30,,69.33,4623,360,,,49,,,858.18,2,18900,54,4,,
ER of Lufkin,2026,2,6,2026 Week 6 (Feb 9–Feb 15),5,5.0,123,34,22,32,23709,1390,,,35,,69.36,3842,422,,,29,,,914.55,3,19800,49,15,,
ER of Lufkin,2026,2,7,2026 Week 7 (Feb 16–Feb 22),5,5.0,348,9,33,30,21828,1200,,,32,,70.17,3908,307,,,41,,,930.44,3,16300,51,11,,
ER of Lufkin,2026,2,8,2026 Week 8 (Feb 23–Mar 1),4,4.0,213,14,17,26,21507,1330,,,36,,68.92,3379,281,,,33,,,819.63,2,14500,64,9,,
ER of Lufkin,2026,3,9,2026 Week 9 (Mar 2–Mar 8),0,0.0,0,0,0,0,21631,1260,,,42,,70.34,3747,291,,,36,,,927.35,3,15100,61,8,,
Irving Med Spa,2025,11,44,2025 Week 44 (Nov 3–Nov 9),6,100.0,1,0,11,2,8845,227,,,4,,178.9,0,0,,,0,,,0.0,1,7800,0,0,,
Irving Med Spa,2025,11,45,2025 Week 45 (Nov 10–Nov 16),6,100.0,3,2,7,9,13497,311,,,16,,398.55,0,0,,,0,,,0.0,0,11300,0,0,,
Irving Med Spa,2025,11,46,2025 Week 46 (Nov 17–Nov 23),6,100.0,5,3,7,5,17120,242,,,22,,453.74,0,0,,,0,,,0.0,1,14600,0,0,,
Irving Med Spa,2025,11,47,2025 Week 47 (Nov 24–Nov 30),6,100.0,4,0,7,8,16112,192,,,15,,453.81,2917,218,,,21,,,79.71,1,14300,0,0,,
Irving Med Spa,2025,12,48,2025 Week 48 (Dec 1–Dec 7),6,100.0,6,0,8,3,18502,218,,,12,,447.21,3457,110,,,10,,,197.33,0,0,1,0,,
Irving Med Spa,2025,12,49,2025 Week 49 (Dec 8–Dec 14),6,100.0,7,1,9,5,19964,183,,,17,,510.59,4667,175,,,11,,,260.99,2,19800,0,0,,
Irving Med Spa,2025,12,50,2025 Week 50 (Dec 15–Dec 21),5,100.0,5,2,6,4,26080,238,,,31,,538.43,5768,194,,,4,,,295.11,4,20500,6,0,,
Irving Med Spa,2025,12,51,2025 Week 51 (Dec 22–Dec 28),5,100.0,4,3,5,3,57646,414,,,30,,704.55,5436,162,,,6,,,278.33,4,55400,13,0,,
Irving Med Spa,2025,12,52,2025 Week 52 (Dec 29–Jan 4),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
Irving Med Spa,2026,1,1,2026 Week 1 (Jan 5–Jan 11),4,22.0,11,4,12,37,72183,452,,,33,,711.88,4314,207,,,5,,,275.56,2,66100,0,0,,
Irving Med Spa,2026,1,2,2026 Week 2 (Jan 12–Jan 18),5,22.0,7,9,15,85,90059,553,,,58,,755.68,5120,225,,,47,,,381.04,3,80900,9,0,,
Irving Med Spa,2026,1,3,2026 Week 3 (Jan 19–Jan 25),5,21.0,13,1,18,69,104802,688,,,73,,737.66,5178,316,,,150,,,473.69,3,101600,0,0,,
Irving Med Spa,2026,1,4,2026 Week 4 (Jan 26–Feb 1),5,21.0,17,2,24,66,104880,672,,,72,,829.35,5560,267,,,64,,,467.24,3,102500,6,0,,
Irving Med Spa,2026,2,5,2026 Week 5 (Feb 2–Feb 8),5,17.0,12,10,48,96,81814,601,,,84,,806.72,4624,278,,,92,,,448.33,3,100500,3,0,,
Irving Med Spa,2026,2,6,2026 Week 6 (Feb 9–Feb 15),5,17.0,9,10,33,151,58878,542,,,64,,1000.56,5237,360,,,91,,,500.69,3,74200,9,0,,
Irving Med Spa,2026,2,7,2026 Week 7 (Feb 16–Feb 22),5,17.0,17,12,34,130,34355,360,,,55,,935.18,5820,422,,,115,,,753.19,6,31300,7,0,,
Irving Med Spa,2026,2,8,2026 Week 8 (Feb 23–Mar 1),4,17.0,19,18,31,121,29779,348,,,55,,944.72,6062,391,,,101,,,733.97,3,28100,16,0,,
Irving Med Spa,2026,3,9,2026 Week 9 (Mar 2–Mar 8),0,0.0,0,0,0,0,30735,406,,,69,,929.85,5224,345,,,140,,,681.3,3,25400,7,0,,
Naperville Med Spa,2025,11,44,2025 Week 44 (Nov 3–Nov 9),5,100.0,1,26,49,2,26864,218,,,32,,699.39,13156,406,,,60,,,781.99,1,0,0,0,,
Naperville Med Spa,2025,11,45,2025 Week 45 (Nov 10–Nov 16),5,100.0,3,16,52,25,22678,178,,,14,,616.84,10971,396,,,61,,,842.92,1,0,0,0,,
Naperville Med Spa,2025,11,46,2025 Week 46 (Nov 17–Nov 23),5,100.0,5,13,26,14,23411,231,,,35,,606.08,7961,306,,,51,,,624.42,1,0,0,0,,
Naperville Med Spa,2025,11,47,2025 Week 47 (Nov 24–Nov 30),4,100.0,4,17,43,16,27939,219,,,43,,703.19,5515,274,,,29,,,613.91,0,0,0,0,,
Naperville Med Spa,2025,12,48,2025 Week 48 (Dec 1–Dec 7),6,100.0,6,13,25,11,32500,257,,,39,,689.63,7042,313,,,33,,,551.16,2,0,0,0,,
Naperville Med Spa,2025,12,49,2025 Week 49 (Dec 8–Dec 14),6,100.0,7,14,18,7,31471,278,,,44,,709.88,8355,370,,,52,,,910.34,4,24500,0,0,,
Naperville Med Spa,2025,12,50,2025 Week 50 (Dec 15–Dec 21),5,100.0,5,12,22,8,30331,242,,,30,,689.76,9146,312,,,41,,,677.79,5,23100,0,0,,
Naperville Med Spa,2025,12,51,2025 Week 51 (Dec 22–Dec 28),5,100.0,4,16,17,12,33007,296,,,46,,704.25,9382,311,,,44,,,618.35,4,146500,0,0,,
Naperville Med Spa,2025,12,52,2025 Week 52 (Dec 29–Jan 4),0,0.0,0,0,0,0,0,0,,,0,,0.0,0,0,,,0,,,0.0,0,0,0,0,,
Naperville Med Spa,2026,1,1,2026 Week 1 (Jan 5–Jan 11),4,17.0,66,27,77,18,50775,333,,,40,,692.0,10807,364,,,45,,,785.97,2,38300,0,0,,
Naperville Med Spa,2026,1,2,2026 Week 2 (Jan 12–Jan 18),5,17.0,59,13,41,7,38303,264,,,34,,715.15,12163,386,,,46,,,809.52,3,32700,44,0,,
Naperville Med Spa,2026,1,3,2026 Week 3 (Jan 19–Jan 25),5,17.0,69,17,53,1,37356,275,,,31,,691.67,10466,342,,,49,,,683.11,3,26500,41,0,,
Naperville Med Spa,2026,1,4,2026 Week 4 (Jan 26–Feb 1),5,16.0,63,25,68,10,50864,361,,,30,,704.18,6226,260,,,20,,,377.35,1,40100,23,0,,
Naperville Med Spa,2026,2,5,2026 Week 5 (Feb 2–Feb 8),5,15.0,70,14,73,10,36316,314,,,44,,699.05,5027,448,,,18,,,252.16,4,33500,40,0,,
Naperville Med Spa,2026,2,6,2026 Week 6 (Feb 9–Feb 15),5,15.0,88,15,50,4,33342,318,,,42,,691.38,5137,209,,,29,,,470.47,2,25500,47,0,,
Naperville Med Spa,2026,2,7,2026 Week 7 (Feb 16–Feb 22),5,15.0,63,11,37,5,33895,303,,,32,,693.3,7673,302,,,36,,,893.57,3,25100,53,0,,
Naperville Med Spa,2026,2,8,2026 Week 8 (Feb 23–Mar 1),4,15.0,81,13,49,31,31259,252,,,28,,693.03,8239,321,,,33,,,909.68,4,22800,53,0,,
Naperville Med Spa,2026,3,9,2026 Week 9 (Mar 2–Mar 8),0,0.0,0,0,0,0,30775,249,,,33,,697.11,5815,231,,,25,,,733.66,4,21200,50,0,,
